Cliente_ID,Genero,Idade,Parceiro,Dependentes,Tempo_Cliente_Meses,Tipo_Contrato,Servico_Internet,Suporte_Tecnico,Streaming,Cobranca_Sem_Papel,Metodo_Pagamento,Chamadas_Suporte_6M,Atrasos_Pagamento_12M,Valor_Mensal,Valor_Total,Satisfacao,Churn
CLI00024,Masculino,46,Não,Não,21,Bienal,DSL,Não,Não,Sim,Débito Automático,1,0,52.02,1095.63,1,Sim
CLI00025,Masculino,37,Não,Sim,24,Mensal,Sem Internet,Não Aplicável,Não Aplicável,Sim,Débito Automático,0,0,35.92,849.29,3,Não
CLI00026,Feminino,55,Sim,Não,24,Anual,Fibra,Sim,Não,Sim,PIX,3,0,106.69,2433.81,1,Sim
CLI00027,Masculino,72,Sim,Não,24,Bienal,DSL,Não,Não,Sim,Cartão de Crédito,1,0,45.31,1117.23,1,Sim
CLI00028,Masculino,55,Sim,Sim,9,Anual,DSL,Não,Sim,Não,Débito Automático,1,0,73.14,670.13,4,Sim
CLI00029,Masculino,72,Não,Não,31,Bienal,Fibra,Não,Sim,Não,Débito Automático,3,2,108.16,3359.04,3,Sim
CLI00030,Feminino,32,Não,Sim,32,Mensal,Fibra,Não,Não,Sim,Débito Automático,1,0,101.18,3235.19,4,Não
CLI00031,Masculino,28,Não,Sim,11,Mensal,Fibra,Sim,Sim,Sim,Débito Automático,1,0,108.65,1147.16,5,Não
CLI00032,Feminino,54,Sim,Não,21,Mensal,Sem Internet,Não Aplicável,Não Aplicável,Sim,PIX,1,0,26.48,528.01,3,Não
CLI00033,Feminino,61,Não,Não,35,Anual,Sem Internet,Não Aplicável,Não Aplicável,Sim,Cartão de Crédito,2,0,22.18,733.65,4,Não
CLI00034,Masculino,20,Sim,Não,27,Mensal,Fibra,Sim,Sim,Sim,Débito Automático,1,0,114.47,2984.29,4,Não
CLI00035,Feminino,50,Sim,Não,17,Mensal,Sem Internet,Não Aplicável,Não Aplicável,Sim,Cartão de Crédito,1,0,32.1,550.82,5,Não
CLI00036,Feminino,75,Não,Não,58,Bienal,Fibra,Não,Não,Sim,Débito Automático,1,2,94.21,5451.65,5,Sim
CLI00037,Masculino,71,Não,Sim,15,Mensal,Sem Internet,Não Aplicável,Não Aplicável,Sim,PIX,2,1,37.18,525.19,2,Não
CLI00038,Feminino,22,Não,Não,44,Mensal,Fibra,Sim,Sim,Não,Cartão de Crédito,1,1,119.8,5230.99,4,Não
CLI00039,Masculino,66,Não,Sim,49,Mensal,DSL,Sim,Sim,Sim,PIX,1,0,101.07,5010.65,3,Sim
CLI00040,Feminino,41,Sim,Não,16,Mensal,DSL,Sim,Sim,Sim,Débito Automático,1,1,72.44,1128.19,3,Não
CLI00041,Feminino,60,Sim,Sim,31,Bienal,Sem Internet,Não Aplicável,Não Aplicável,Não,PIX,1,2,23.07,685.2,2,Não
CLI00042,Masculino,67,Não,Não,54,Mensal,Fibra,Sim,Não,Sim,Cartão de Crédito,1,2,96.62,5202.64,4,Não
CLI00043,Feminino,74,Não,Sim,59,Mensal,DSL,Sim,Sim,Não,Débito Automático,0,0,87.56,5197.44,5,Não
CLI00044,Feminino,74,Sim,Sim,58,Mensal,Sem Internet,Não Aplicável,Não Aplicável,Sim,Débito Automático,0,0,39.5,2250.57,4,Não
CLI00045,Feminino,66,Sim,Não,25,Mensal,Fibra,Não,Sim,Não,PIX,0,1,120.63,3002.13,5,Sim
CLI00046,Feminino,28,Não,Não,43,Mensal,DSL,Não,Sim,Sim,Boleto,0,0,71.81,3072.49,3,Sim
CLI00047,Feminino,67,Sim,Sim,39,Mensal,Fibra,,Sim,Não,PIX,0,1,133.54,5031.72,3,Não
CLI00048,Masculino,53,Não,Sim,36,Bienal,Fibra,Sim,Sim,Sim,Boleto,1,1,91.62,3111.49,5,Não
CLI00049,Feminino,28,Não,Não,40,Mensal,Fibra,,Não,Sim,Boleto,1,0,105.98,4021.24,5,Não
CLI00050,Feminino,41,Não,Sim,14,Mensal,DSL,Não,Sim,Sim,Débito Automático,2,1,85.1,1213.54,2,Sim
CLI00051,Feminino,61,Não,Não,25,Anual,DSL,Sim,Sim,Sim,Cartão de Crédito,0,0,97.74,2466.0,4,Não
CLI00052,Feminino,70,Sim,Não,15,Mensal,Sem Internet,Não Aplicável,Não Aplicável,Não,Cartão de Crédito,2,0,43.39,625.9,1,Sim
CLI00053,Masculino,58,Não,Não,9,Mensal,DSL,Não,Sim,Sim,Débito Automático,1,4,59.47,544.42,2,Sim
CLI00054,Masculino,48,Sim,Não,21,Bienal,Fibra,Não,Não,Sim,Boleto,0,2,99.3,2005.1,3,Sim
CLI00055,Masculino,39,Sim,Não,19,Mensal,Sem Internet,Não Aplicável,Não Aplicável,Sim,Boleto,0,5,34.32,655.96,3,Sim
CLI00056,Feminino,52,Não,Sim,46,Anual,DSL,Sim,Sim,Não,Cartão de Crédito,0,2,78.26,3515.51,4,Não
CLI00057,Masculino,75,Não,Não,28,Mensal,Fibra,Não,Sim,Não,PIX,2,1,129.05,3628.37,3,Sim
CLI00058,Masculino,58,Sim,Não,29,Mensal,Sem Internet,Não Aplicável,Não Aplicável,Sim,Boleto,3,4,35.95,1046.91,2,Sim
CLI00059,Feminino,44,Sim,Sim,53,Bienal,Sem Internet,Não Aplicável,Não Aplicável,Sim,Cartão de Crédito,1,0,23.35,1170.34,3,Não
CLI00060,,36,Não,Não,61,Anual,Fibra,Sim,Não,Sim,PIX,1,0,83.08,5095.5,5,Sim
CLI00061,Feminino,62,Não,Não,35,Mensal,DSL,Não,Sim,Sim,Débito Automático,1,1,93.21,3193.0,1,Sim
CLI00062,Feminino,40,Sim,Não,39,Mensal,Fibra,Não,Não,Não,Cartão de Crédito,2,2,99.01,3690.33,2,Sim
CLI00063,Feminino,25,Sim,Não,30,Anual,DSL,Sim,Não,Sim,Boleto,3,2,81.04,2303.87,2,Sim
CLI00064,Masculino,30,Não,Não,29,Mensal,DSL,Não,Sim,Sim,PIX,2,1,86.64,2399.84,3,Não
CLI00065,Feminino,73,Não,Não,19,Anual,DSL,Não,Sim,Sim,Boleto,0,2,57.06,,4,Não
CLI00066,Feminino,58,Sim,Não,35,Bienal,Fibra,Não,Sim,Sim,Cartão de Crédito,1,1,118.39,4167.62,3,Não
CLI00067,Feminino,47,Sim,Não,18,Anual,Fibra,Não,Sim,Sim,Cartão de Crédito,1,1,108.5,1905.48,3,Não
CLI00068,Masculino,42,Não,Não,14,Bienal,Fibra,Não,Sim,Sim,Cartão de Crédito,2,1,106.43,1515.94,2,Sim
CLI00069,Masculino,68,Não,Não,29,Mensal,DSL,Não,Não,Sim,Débito Automático,2,1,51.1,1441.72,,Sim
CLI00070,Masculino,52,Sim,Não,42,Anual,DSL,Não,Sim,Sim,Débito Automático,2,0,86.23,3621.47,4,Não
CLI00071,Masculino,49,Não,Sim,16,Anual,Sem Internet,Não Aplicável,Não Aplicável,Sim,Cartão de Crédito,1,1,29.76,449.56,3,Não
CLI00072,Feminino,67,Não,Sim,31,Mensal,Fibra,Não,Sim,Sim,Débito Automático,1,2,113.43,3546.02,3,Sim
CLI00073,Feminino,47,Não,Sim,12,Mensal,DSL,Sim,Não,Sim,Boleto,1,1,68.25,824.06,3,Não
CLI00074,Feminino,27,Sim,Sim,23,Mensal,DSL,Sim,Sim,Sim,PIX,0,2,93.65,2027.03,5,Não
CLI00075,Feminino,49,Sim,Não,16,Mensal,Fibra,Sim,Não,Sim,PIX,1,0,87.97,1358.51,2,Não
CLI00076,Masculino,66,Não,Sim,48,Anual,Fibra,Sim,Não,Não,PIX,0,1,108.19,5324.4,4,Não
CLI00077,Feminino,22,Sim,Não,25,Mensal,Fibra,Não,Não,Sim,Cartão de Crédito,0,1,119.05,2983.45,5,Sim
CLI00078,Masculino,33,Sim,Sim,35,Bienal,DSL,Sim,Sim,Sim,Boleto,0,3,83.64,2867.21,3,Não
CLI00079,Feminino,28,Sim,Sim,62,Mensal,DSL,Não,Sim,Não,Boleto,2,1,68.28,3980.81,2,Sim
CLI00080,Feminino,54,Sim,Não,37,Mensal,Fibra,Não,Sim,Sim,PIX,1,0,126.39,4595.69,5,Sim
CLI00081,Masculino,23,Sim,Não,22,Mensal,Fibra,Não,Sim,Não,PIX,1,2,108.76,2451.51,5,Sim
CLI00082,Feminino,72,Não,Sim,50,Mensal,Sem Internet,Não Aplicável,Não Aplicável,Sim,PIX,0,1,29.17,1398.74,5,Não
CLI00083,Feminino,58,Não,Não,19,Mensal,Fibra,Não,Sim,Não,Débito Automático,0,0,111.74,2005.16,5,Não
CLI00084,Feminino,47,Sim,Não,37,Anual,Fibra,Não,Não,Sim,Débito Automático,1,0,83.17,2922.59,1,Não
CLI00085,Masculino,55,Não,Não,17,Anual,Fibra,Não,Não,Sim,PIX,3,1,94.82,1541.5,2,Sim
CLI00086,Masculino,50,Sim,Não,30,Mensal,Sem Internet,Não Aplicável,Não Aplicável,Sim,PIX,2,0,43.7,1249.24,5,Sim
CLI00087,Masculino,32,Não,Sim,14,Mensal,DSL,,Sim,Sim,PIX,0,2,95.81,1369.68,3,Sim
CLI00088,Masculino,44,Sim,Sim,19,Anual,Fibra,Sim,Sim,Não,Cartão de Crédito,0,1,113.36,2144.35,3,Não
CLI00089,Masculino,64,Não,Não,36,Mensal,Sem Internet,Não Aplicável,Não Aplicável,Sim,Cartão de Crédito,2,0,35.37,1274.48,3,Não
CLI00090,Masculino,25,Sim,Não,64,Bienal,Fibra,Não,Sim,Não,Débito Automático,1,1,108.57,6986.38,5,Não
CLI00091,Feminino,27,Não,Não,65,Mensal,DSL,Não,Não,Sim,PIX,0,1,70.31,4316.65,3,Sim
CLI00092,Feminino,39,Sim,Sim,18,Mensal,DSL,Não,Não,Sim,Débito Automático,1,0,73.47,1341.89,5,Não
CLI00093,Masculino,49,Sim,Não,31,Mensal,DSL,Não,Não,Não,PIX,0,0,79.5,2451.08,3,Não
CLI00094,Feminino,61,Sim,Não,62,Mensal,DSL,Não,Sim,Sim,Boleto,4,1,102.18,6259.46,5,Sim
CLI00095,Feminino,33,Sim,Não,39,Anual,Fibra,Não,Não,Sim,Débito Automático,0,1,104.57,4152.44,5,Não
CLI00096,Masculino,39,Sim,Não,8,Bienal,DSL,Não,Sim,Não,Boleto,0,1,74.15,608.7,4,Sim
CLI00097,Masculino,61,Não,Não,45,Mensal,Fibra,Não,Não,Não,Cartão de Crédito,2,0,93.13,4185.14,3,Sim
CLI00098,Masculino,68,Sim,Sim,46,Bienal,Fibra,Sim,Sim,Sim,Débito Automático,0,1,83.59,3907.98,3,Não
CLI00099,Masculino,37,Sim,Não,40,Mensal,Sem Internet,Não Aplicável,Não Aplicável,Não,Cartão de Crédito,2,0,20.43,817.52,4,Não
CLI00100,Masculino,54,Não,Não,60,Mensal,Fibra,Não,Sim,Não,Boleto,2,1,101.52,6150.46,3,Sim
CLI00101,Feminino,32,Não,Não,49,Mensal,DSL,Sim,Sim,Sim,Débito Automático,1,1,100.88,4898.49,4,Não
CLI00102,Masculino,42,Não,Não,36,Anual,DSL,Não,Sim,Sim,PIX,3,2,74.61,2558.4,2,Sim
CLI00103,Masculino,21,Sim,Não,30,Mensal,Sem Internet,Não Aplicável,Não Aplicável,Sim,PIX,0,1,35.54,1060.43,3,Não
CLI00104,Masculino,48,Não,Não,51,Mensal,DSL,Não,Sim,Sim,Boleto,0,2,93.87,4877.06,4,Sim
CLI00105,Masculino,62,Não,Não,13,Mensal,DSL,Não,Não,Sim,Boleto,0,3,61.52,791.91,2,Sim
CLI00106,Masculino,70,Sim,Não,26,Mensal,Fibra,Sim,Não,Sim,Cartão de Crédito,1,2,113.69,2996.79,4,Não
CLI00107,Masculino,23,Não,Não,32,Anual,Fibra,Não,Sim,Não,Cartão de Crédito,1,0,99.68,3142.82,3,Não
CLI00108,Feminino,44,Não,Não,5,Anual,Fibra,Não,Sim,Sim,Boleto,0,2,120.11,615.71,4,Sim
CLI00109,Feminino,49,Sim,Não,30,Mensal,DSL,Sim,Não,Sim,Débito Automático,2,0,68.59,1956.53,4,Não
CLI00110,Masculino,70,Sim,Sim,19,Mensal,Fibra,Sim,Não,Sim,PIX,1,1,93.06,1776.72,4,Sim
CLI00111,Feminino,40,Sim,Não,43,Mensal,Fibra,Não,Não,Sim,Débito Automático,1,0,101.97,4281.36,5,Sim
CLI00112,Feminino,24,Sim,Não,28,Mensal,DSL,Sim,Não,Sim,PIX,2,0,90.95,2495.37,2,Não
CLI00113,Feminino,52,Sim,Sim,21,Mensal,Fibra,Não,Sim,Sim,Débito Automático,0,0,102.46,2080.58,4,Não
CLI00114,Feminino,44,Sim,Sim,15,Mensal,Fibra,Não,Sim,Sim,Boleto,3,2,96.19,1372.52,3,Sim
CLI00115,Masculino,42,Não,Não,41,Mensal,Fibra,Não,Sim,Não,Débito Automático,0,2,111.06,4664.42,4,Sim
CLI00116,Masculino,61,Não,Não,69,Anual,Fibra,Não,Sim,Sim,Boleto,2,2,98.36,6647.61,2,Sim
CLI00117,Masculino,67,Não,Não,17,Mensal,Sem Internet,Não Aplicável,Não Aplicável,Não,Cartão de Crédito,1,0,29.43,493.89,4,Não
CLI00118,Masculino,18,Não,Sim,29,Bienal,Fibra,Não,Não,Não,Cartão de Crédito,3,0,85.97,2403.19,1,Sim
CLI00119,Masculino,53,Sim,Sim,16,Bienal,Fibra,Não,Sim,Sim,Débito Automático,1,1,95.79,1518.36,2,Não
CLI00120,Masculino,24,Sim,Sim,15,Mensal,DSL,Sim,Sim,Sim,PIX,1,2,99.59,1496.93,4,Sim
CLI00121,Masculino,38,Sim,Sim,9,Anual,Fibra,Não,Sim,Sim,Boleto,3,2,91.46,777.4,3,Sim
CLI00122,Masculino,67,Sim,Não,34,Bienal,Fibra,Não,Sim,Sim,Cartão de Crédito,2,2,84.36,2941.11,5,Não
CLI00123,Feminino,30,Não,Não,9,Anual,Fibra,Não,Não,Sim,Cartão de Crédito,1,1,105.8,914.88,3,Não
CLI00124,Feminino,74,Não,Não,58,Bienal,Fibra,Sim,Não,Sim,Débito Automático,1,0,93.9,5400.24,3,Não
CLI00125,Masculino,38,Não,Sim,7,Mensal,Sem Internet,Não Aplicável,Não Aplicável,Não,Débito Automático,2,2,35.6,237.66,2,Sim
CLI00126,Masculino,35,Não,Sim,37,Mensal,Fibra,Sim,Não,Sim,PIX,0,2,113.25,4168.1,5,Não
CLI00127,Feminino,47,Sim,Sim,55,Anual,Sem Internet,Não Aplicável,Não Aplicável,Sim,Boleto,1,3,23.39,1312.81,4,Não
CLI00128,Masculino,67,Sim,Sim,50,Bienal,Fibra,Sim,Sim,Sim,Boleto,1,1,117.65,5531.42,4,Não
CLI00129,Masculino,60,Não,Não,22,Mensal,Fibra,Sim,Não,Não,Cartão de Crédito,1,2,117.72,2518.4,1,Sim
CLI00130,Feminino,56,Não,Sim,32,Anual,Sem Internet,Não Aplicável,Não Aplicável,Sim,Débito Automático,0,1,38.73,,3,Não
CLI00131,Feminino,64,Não,Não,47,Mensal,DSL,Não,Sim,Não,Débito Automático,1,1,72.62,3350.41,5,Sim
CLI00132,Feminino,63,Não,Não,20,Mensal,Sem Internet,Não Aplicável,Não Aplicável,Sim,PIX,2,2,21.99,414.89,2,Não
CLI00133,Masculino,39,Sim,Sim,30,Anual,Fibra,Não,Sim,Sim,Débito Automático,1,0,86.0,2459.87,3,Não
CLI00134,Feminino,57,Sim,Sim,17,Anual,DSL,Não,Sim,Sim,PIX,0,0,79.6,1350.49,4,Não
CLI00135,Masculino,38,Não,Sim,21,Mensal,DSL,Sim,Sim,Sim,Cartão de Crédito,1,0,78.29,1596.08,4,Não
CLI00136,Masculino,66,Sim,Sim,30,Mensal,DSL,Sim,Não,Sim,Boleto,3,1,70.45,2052.17,2,Não
CLI00137,Feminino,26,Sim,Não,55,Anual,Fibra,Sim,Sim,Não,Boleto,0,0,90.19,4949.55,3,Não
CLI00138,Masculino,27,Não,Não,49,Anual,Fibra,Não,Sim,Sim,Débito Automático,1,0,109.76,5336.11,4,Não
CLI00139,Masculino,36,Sim,Sim,11,Anual,Fibra,Sim,Não,Sim,Cartão de Crédito,1,1,101.52,1067.35,4,Não
CLI00140,Feminino,43,Sim,Não,58,Bienal,Fibra,Sim,Sim,Não,Débito Automático,2,0,99.99,5950.37,2,Não
CLI00141,Feminino,32,Não,Sim,8,Anual,Fibra,Sim,Não,Sim,PIX,1,0,82.86,668.68,4,Sim
CLI00142,Masculino,57,Sim,Não,13,Mensal,Fibra,Sim,Sim,Sim,Cartão de Crédito,4,1,96.29,1250.22,1,Sim
CLI00143,Masculino,41,Não,Não,11,Mensal,DSL,Sim,Sim,Sim,Cartão de Crédito,1,3,89.03,976.34,4,Não
CLI00144,Masculino,65,Não,Não,8,Mensal,DSL,Sim,Não,Sim,PIX,2,0,61.87,485.58,2,Sim
CLI00145,Masculino,66,Sim,Não,31,Mensal,Sem Internet,Não Aplicável,Não Aplicável,Sim,Cartão de Crédito,2,1,29.74,907.03,1,Sim
CLI00146,Masculino,53,Sim,Sim,30,Mensal,Fibra,Sim,Não,Não,Boleto,1,2,113.97,3512.0,3,Sim
CLI00147,Feminino,32,Não,Sim,13,Anual,Sem Internet,Não Aplicável,Não Aplicável,Sim,Cartão de Crédito,0,1,31.87,424.05,3,Não
CLI00148,Masculino,23,Sim,Não,49,Mensal,Fibra,Sim,Não,Sim,Cartão de Crédito,1,0,101.69,5093.62,5,Não
CLI00149,Masculino,47,Sim,Sim,39,Mensal,Sem Internet,Não Aplicável,Não Aplicável,Sim,Boleto,0,2,29.99,1155.32,3,Não
CLI00150,Masculino,39,Sim,Sim,28,Bienal,DSL,Não,Sim,Não,Cartão de Crédito,0,0,55.1,1498.17,3,Não
CLI00151,Feminino,27,Não,Não,35,Mensal,Sem Internet,Não Aplicável,Não Aplicável,Sim,Cartão de Crédito,0,0,30.39,1005.86,5,Não
CLI00152,Masculino,63,Não,Sim,16,Anual,Sem Internet,Não Aplicável,Não Aplicável,Não,Cartão de Crédito,1,1,29.24,455.33,2,Não
CLI00153,Feminino,62,Sim,Não,8,Anual,Fibra,Sim,Sim,Sim,Boleto,0,2,109.04,835.35,2,Não
CLI00154,Feminino,69,Sim,Sim,40,Bienal,DSL,Não,Sim,Sim,PIX,1,0,90.98,3614.31,3,Não
CLI00155,Feminino,25,Não,Não,26,Mensal,DSL,Sim,Não,Sim,Cartão de Crédito,0,1,87.77,2274.08,3,Sim
CLI00156,Masculino,56,Não,Não,50,Anual,DSL,Não,Sim,Sim,Boleto,1,2,85.11,4185.88,3,Não
CLI00157,Feminino,29,Não,Sim,46,Mensal,Sem Internet,Não Aplicável,Não Aplicável,Sim,Cartão de Crédito,2,2,23.86,1109.15,1,Sim
CLI00158,Masculino,50,Não,Sim,33,Mensal,Fibra,Não,Sim,Sim,Débito Automático,0,1,129.48,4157.4,4,Sim
CLI00159,Feminino,32,Não,Sim,49,Mensal,Fibra,Não,Sim,Não,Débito Automático,2,0,129.23,6000.78,2,Sim
CLI00160,Feminino,49,Sim,Sim,27,Mensal,DSL,Sim,Não,Sim,PIX,0,1,71.61,1874.36,3,Sim
CLI00161,Masculino,53,Não,Não,51,Mensal,Fibra,Não,Sim,Sim,Débito Automático,3,1,108.07,5258.41,1,Sim
CLI00162,Feminino,55,Sim,Não,50,Mensal,Fibra,Não,Sim,Sim,Cartão de Crédito,1,0,102.55,4965.91,4,Não
CLI00163,Masculino,63,Não,Sim,23,Mensal,DSL,Não,Não,Sim,Cartão de Crédito,1,0,77.64,1710.73,3,Sim
CLI00164,Masculino,33,Sim,Não,21,Mensal,Fibra,Sim,Sim,Não,Cartão de Crédito,1,1,124.57,2504.2,3,Não
CLI00165,Feminino,75,Sim,Não,12,Bienal,DSL,Não,Não,Sim,Cartão de Crédito,0,0,75.0,866.4,5,Não
CLI00166,Feminino,74,Não,Sim,28,Mensal,Fibra,Sim,Não,Sim,PIX,0,1,113.37,3093.8,4,Não
CLI00167,Feminino,73,Sim,Não,29,Anual,Sem Internet,Não Aplicável,Não Aplicável,Sim,Débito Automático,0,1,19.32,530.01,3,Não
CLI00168,Feminino,46,Sim,Não,20,Anual,DSL,Sim,Sim,Não,Cartão de Crédito,0,0,104.21,2080.53,4,Não
CLI00169,Feminino,36,Não,Não,26,Mensal,Fibra,Sim,Sim,Não,Boleto,1,2,121.64,3138.8,4,Sim
CLI00170,Feminino,37,Não,Não,14,Bienal,Fibra,Não,Sim,Sim,Cartão de Crédito,0,0,92.86,,5,Não
CLI00171,Masculino,20,Sim,Sim,28,Mensal,Sem Internet,Não Aplicável,Não Aplicável,Sim,Débito Automático,2,2,24.51,689.56,2,Não
CLI00172,Masculino,71,Sim,Sim,27,Anual,Fibra,Não,Sim,Sim,Cartão de Crédito,1,1,95.21,2626.25,4,Não
CLI00173,Feminino,75,Não,Sim,37,Anual,DSL,Não,Sim,Sim,PIX,2,0,84.18,3047.2,1,Não
CLI00174,Feminino,40,Sim,Sim,29,Mensal,DSL,Sim,Sim,Sim,Cartão de Crédito,0,1,80.3,2244.53,5,Não
CLI00175,Feminino,69,Sim,Sim,5,Mensal,Fibra,Sim,Não,Não,PIX,3,2,107.6,520.29,3,Sim
CLI00176,Feminino,20,Sim,Não,33,Anual,DSL,Não,Sim,Não,Débito Automático,1,0,69.89,2266.24,4,Não
CLI00177,Feminino,69,Não,Sim,18,Anual,Fibra,Sim,Sim,Sim,Cartão de Crédito,0,0,124.96,2186.95,3,Sim
CLI00178,Feminino,69,Sim,Não,13,Mensal,DSL,Não,Sim,Não,PIX,1,0,83.19,1045.01,3,Não
CLI00179,Feminino,68,Sim,Não,25,Mensal,Fibra,Sim,Sim,Não,PIX,2,1,100.72,2589.45,2,Não
CLI00180,Feminino,46,Não,Não,35,Anual,Fibra,Não,Não,Sim,PIX,0,1,103.47,3638.47,5,Não
CLI00181,Masculino,46,Sim,Não,27,Bienal,DSL,Não,Não,Não,Boleto,0,3,59.61,1626.58,4,Não
CLI00182,Feminino,55,Sim,Não,27,Bienal,DSL,Sim,Sim,Não,PIX,0,2,61.47,1630.81,4,Não
CLI00183,Feminino,18,Sim,Sim,50,Mensal,DSL,Não,Sim,Sim,PIX,0,0,81.81,4010.71,3,Não
CLI00184,Masculino,54,Não,Não,29,Mensal,DSL,Sim,Sim,Sim,PIX,1,1,93.52,2693.1,4,Sim
CLI00185,Masculino,44,Não,Sim,57,Bienal,Fibra,Sim,Sim,Sim,Boleto,2,1,98.61,5298.15,4,Sim
CLI00186,Feminino,71,Não,Não,16,Mensal,Sem Internet,Não Aplicável,Não Aplicável,Sim,Cartão de Crédito,2,0,33.4,542.77,3,Sim
CLI00187,Feminino,19,Não,Sim,55,Anual,Fibra,Não,Não,Sim,Cartão de Crédito,1,1,94.13,5169.97,4,Não
CLI00188,Feminino,,Não,Sim,29,Mensal,Fibra,Sim,Sim,Não,Boleto,3,0,130.11,3770.87,4,Não
CLI00189,Feminino,25,Não,Não,23,Anual,Sem Internet,Não Aplicável,Não Aplicável,Sim,Cartão de Crédito,2,0,17.1,372.6,4,Não
CLI00190,Masculino,22,Não,Não,42,Anual,DSL,Sim,Sim,Sim,Cartão de Crédito,2,1,66.45,2780.73,1,Sim
CLI00191,Masculino,55,Não,Sim,32,Anual,Fibra,Sim,Sim,Sim,Boleto,2,1,127.27,3942.34,5,Não
CLI00192,Feminino,72,Não,Não,34,Mensal,Fibra,Sim,Sim,Sim,PIX,1,3,98.11,3421.58,3,Sim
CLI00193,Masculino,29,Não,Não,6,Anual,Fibra,Não,Sim,Não,Cartão de Crédito,2,2,102.36,632.46,5,Sim
CLI00194,Feminino,68,Não,Sim,29,Anual,DSL,Não,Sim,Sim,Débito Automático,1,0,78.8,2230.55,5,Não
CLI00195,Feminino,41,Não,Sim,24,Mensal,Fibra,Sim,Não,Sim,Débito Automático,4,1,102.11,2319.34,1,Sim
CLI00196,Feminino,59,Sim,Não,15,Mensal,Fibra,Não,Não,Não,Débito Automático,2,1,108.81,1580.21,2,Sim
CLI00197,Masculino,27,Não,Não,32,Anual,Sem Internet,Não Aplicável,Não Aplicável,Sim,Débito Automático,0,2,18.92,594.98,3,Não
CLI00198,Feminino,75,Não,Sim,18,Mensal,DSL,Não,Não,Sim,Boleto,0,1,66.48,1140.21,1,Sim
